,all_reports,area,area_name,country_name,latitude,longitude,mental_scale,safety_change,safety_level,upper,work_situation
3,1,CHINA,China,CHINA,35.86166,104.195397,0,0,0,,0
4,1,CROATIA,Croatia,CROATIA,45.1,15.2,0,0,0,,0
5,1,CYPRUS,Cyprus,CYPRUS,35.126413,33.429859,0,0,0,,1
6,125,FRANCE,France,FRANCE,46.227638,2.213749,24,8,3,,2
7,13,GERMANY,Germany,GERMANY,51.165690999999995,10.451526,2,0,1,,0
8,1,GHANA,Ghana,GHANA,7.9465270000000015,-1.0231940000000002,0,0,0,,0
9,1,HONG KONG,Hong Kong,HONG KONG,22.396428,114.10949699999999,0,0,0,,0
10,3,ITALY,Italy,ITALY,41.87194,12.56738,0,1,1,,0
11,1,LEBANON,Lebanon,LEBANON,33.854721000000005,35.862285,0,0,0,,0
12,1,LITHUANIA,Lithuania,LITHUANIA,55.169438,23.881275,1,0,0,,1
13,1,MOROCCO,Morocco,MOROCCO,31.791702,-7.09262,0,0,0,,0
14,1,NETHERLANDS,Netherlands,NETHERLANDS,52.132633,5.291266,0,0,0,,0
15,2,NEW ZEALAND,New Zealand,NEW ZEALAND,-40.900557,174.88597099999996,0,0,0,,1
16,5,POLAND,Poland,POLAND,51.919438,19.145135999999997,2,0,1,,1
17,1,PORTUGAL,Portugal,PORTUGAL,39.399871999999995,-8.224454,1,0,0,,0
18,1,RUSSIA,Russia,RUSSIA,61.52401,105.31875600000001,0,0,0,,0
19,24,SINGAPORE,Singapore,SINGAPORE,1.352083,103.819836,2,0,1,,0
20,6,SPAIN,Spain,SPAIN,40.463667,-3.7492199999999998,0,1,0,,0
21,1,SWITZERLAND,Switzerland,SWITZERLAND,46.818188,8.227511999999999,0,0,0,,0
22,1,UNITED ARAB EMIRATES,United Arab Emirates,UNITED ARAB EMIRATES,23.424076,53.847818000000004,0,0,0,,0
