,latitude,longitude,area,area_name,country_name
85,-54.429579,-36.587909,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,South Georgia and the South Sandwich Islands,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
86,15.783471,-90.230759,GUATEMALA,Guatemala,GUATEMALA
87,13.444304,144.793731,GUAM,Guam,GUAM
88,11.803749,-15.180413,GUINEA-BISSAU,Guinea-Bissau,GUINEA-BISSAU
89,4.860416000000002,-58.93018000000001,GUYANA,Guyana,GUYANA
90,31.354676,34.308825,GAZA STRIP,Gaza Strip,GAZA STRIP
91,22.396428,114.109497,HONG KONG,Hong Kong,HONG KONG
92,-53.08181,73.50415799999998,HEARD ISLAND AND MCDONALD ISLANDS,Heard Island and McDonald Islands,HEARD ISLAND AND MCDONALD ISLANDS
93,15.199998999999998,-86.241905,HONDURAS,Honduras,HONDURAS
94,45.1,15.2,CROATIA,Croatia,CROATIA
95,18.971187,-72.28521500000002,HAITI,Haiti,HAITI
96,47.162494,19.503304,HUNGARY,Hungary,HUNGARY
97,-0.789275,113.921327,INDONESIA,Indonesia,INDONESIA
98,53.41291,-8.243889999999999,IRELAND,Ireland,IRELAND
99,31.046051,34.851612,ISRAEL,Israel,ISRAEL
100,54.236107,-4.548056,ISLE OF MAN,Isle of Man,ISLE OF MAN
101,20.593684,78.96288,INDIA,India,INDIA
102,-6.343194,71.87651899999999,BRITISH INDIAN OCEAN TERRITORY,British Indian Ocean Territory,BRITISH INDIAN OCEAN TERRITORY
103,33.223191,43.679291,IRAQ,Iraq,IRAQ
104,32.427908,53.68804599999999,IRAN,Iran,IRAN
105,64.96305100000001,-19.020835,ICELAND,Iceland,ICELAND
106,41.87194,12.56738,ITALY,Italy,ITALY
107,49.214439,-2.13125,JERSEY,Jersey,JERSEY
108,18.109581,-77.297508,JAMAICA,Jamaica,JAMAICA
109,30.585164,36.238414,JORDAN,Jordan,JORDAN
110,36.204824,138.252924,JAPAN,Japan,JAPAN
111,-0.023559,37.906193,KENYA,Kenya,KENYA
112,41.20438,74.766098,KYRGYZSTAN,Kyrgyzstan,KYRGYZSTAN
113,12.565679,104.990963,CAMBODIA,Cambodia,CAMBODIA
114,-3.370417,-168.734039,KIRIBATI,Kiribati,KIRIBATI
115,-11.875001,43.872219,COMOROS,Comoros,COMOROS
116,17.357822,-62.782998,SAINT KITTS AND NEVIS,Saint Kitts and Nevis,SAINT KITTS AND NEVIS
